Andamios,TiempoRenta,Costo,
19,1 mes,17100,
20,1 dia,2000,
20,2 dias,4000,
20,3 dias,6000,
20,4 dias,8000,
20,5 dias,10000,
20,1 semana,7000,
20,8 dias,8000,
20,9 dias,9000,
20,10 dias,10000,
20,11 dias,11000,
20,12 dias,12000,
20,13 dias,13000,
20,2 semanas,10500,
20,3 semanas,12600,
20,1 mes,18000,
